,precision,recall,f1-score,support,accuracy
Angry,0.7563218390804598,0.7580645161290323,0.757192174913694,434.0,0.6117021276595744
Disgusted,0.5237068965517241,0.6514745308310992,0.5806451612903226,373.0,0.6117021276595744
Fearful,0.5412262156448203,0.624390243902439,0.579841449603624,410.0,0.6117021276595744
Happy,0.8373205741626795,0.4032258064516129,0.5443234836702955,434.0,0.6117021276595744
Neutral,0.7908163265306123,0.43175487465181056,0.5585585585585585,359.0,0.6117021276595744
Sad,0.5052473763118441,0.7764976958525346,0.6121707538601272,434.0,0.6117021276595744
accuracy,0.6117021276595744,0.6117021276595744,0.6117021276595744,0.6117021276595744,0.6117021276595744
macro avg,0.6591065380470233,0.6075679446364215,0.6054552636494369,2444.0,0.6117021276595744
weighted avg,0.6596017392469403,0.6117021276595744,0.6077651657209678,2444.0,0.6117021276595744
